customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
64A-B,Female,1,Yes,Yes,34,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),76.66618122681375,2611.2893218660074,No
65A-B,Male,0,Yes,No,28,No,No,No,No,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,81.40914593628848,2288.5008689678407,No
66A-B,Female,0,No,Yes,39,No,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,91.87553927038071,3588.277736916086,No
67A-B,Female,0,No,No,3,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,88.87096087393452,272.8959808336806,Yes
68A-B,Male,0,No,Yes,41,No,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,54.733900928521365,2240.261258049677,No
69A-B,Female,0,No,Yes,71,No,No phone service,DSL,No internet service,No,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),117.50422817128275,8343.243088021654,No
70A-B,Male,0,Yes,Yes,4,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,58.29287043379433,227.6567803649042,Yes
71A-B,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Mailed check,54.8624577507468,1932.5122401454762,No
72A-B,Male,0,No,No,8,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),60.15880843805985,490.30486060531825,Yes
73A-B,Male,0,No,No,29,Yes,No,No,No,Yes,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),55.6366249317843,1598.0739218093836,No
74A-B,Female,0,No,Yes,13,No,Yes,No,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),85.39386938085426,1116.057254973414,No
75A-B,Female,0,No,No,17,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Two year,No,Electronic check,79.97324710957236,1372.38977582867,Yes
76A-B,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,117.37749513546937,1294.6612293791932,Yes
77A-B,Female,0,No,No,17,Yes,No,DSL,No,No internet service,No,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),20.302150754650064,350.684682674087,No
78A-B,Male,1,Yes,Yes,50,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,No,Mailed check,25.356902621871406,1273.119717730272,No
79A-B,Male,0,Yes,No,48,Yes,Yes,No,No,No,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),26.667870296481446,1277.2795339733036,No
80A-B,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),18.45439423559629,26.8608544593879,Yes
81A-B,Female,1,No,Yes,18,No,No,No,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,82.21687175945205,1465.040664872521,No
82A-B,Female,0,No,No,3,No,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,18.978472265430078,38.98134704453367,Yes
83A-B,Female,1,Yes,Yes,19,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),64.20753816037535,1231.9301264518726,Yes
84A-B,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),55.51526720614585,3107.3397877223533,No
85A-B,Female,0,No,Yes,51,Yes,No,DSL,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),36.3310416497834,1854.8375938634902,No
86A-B,Female,1,Yes,No,12,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),110.30428723644815,1318.170197458224,No
87A-B,Female,1,No,No,1,No,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,72.80829890189487,65.50621991370669,Yes
88A-B,Female,0,Yes,Yes,50,No,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Mailed check,117.63099074883309,5885.600849709682,No
89A-B,Female,0,Yes,Yes,31,No,Yes,DSL,No internet service,No internet service,No,No,No internet service,No,One year,No,Electronic check,56.87364509214078,1757.7351312648689,No
90A-B,Female,1,No,No,35,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),22.38712517112434,780.7086367668026,No
91A-B,Female,0,No,Yes,25,No,Yes,No,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),70.46442985597687,1761.8669636290397,No
92A-B,Female,0,No,No,11,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,118.70863215833691,1304.4346506047823,Yes
93A-B,Male,0,No,No,67,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Electronic check,23.7146582592201,1595.5497161780302,No
94A-B,Female,0,No,No,45,No,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),114.26412123492574,5139.370079216699,No
95A-B,Female,0,Yes,Yes,30,No,No,No,No internet service,No,No,No,Yes,No internet service,Two year,No,Bank transfer (automatic),93.02138762158911,2783.546850066692,No
96A-B,Female,0,No,No,64,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,99.3726834840407,6339.140965397579,No
97A-B,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),101.40004316168739,604.3291565211288,Yes
98A-B,Female,0,Yes,Yes,61,No,Yes,No,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,114.03474009334438,6937.151847955052,Yes
99A-B,Male,0,Yes,No,2,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,39.85208265868869,60.49337429342359,Yes
100A-B,Female,0,No,No,35,No,No,No,Yes,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),86.13050556539177,3013.8124141307826,No
101A-B,Male,0,Yes,No,11,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),98.87087054025741,1087.7763896268002,Yes
102A-B,Female,0,Yes,No,60,No,No,No,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),100.86047260622372,6047.488374084863,No
103A-B,Male,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,85.4565414503708,3070.0468708016097,No
104A-B,Female,0,Yes,No,63,No,Yes,DSL,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),89.62906230510852,5648.285865698898,No
105A-B,Female,0,Yes,Yes,5,No,No,No,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),114.29920256148783,571.4374497073501,Yes
106A-B,Female,1,Yes,Yes,27,No,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,28.36070929337024,751.2176892967109,No
107A-B,Female,1,Yes,Yes,71,Yes,Yes,No,No,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,76.64112244745856,5447.375740418111,No
108A-B,Male,0,No,No,2,No,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),98.52290127885335,179.2196387011486,Yes
109A-B,Male,0,No,Yes,29,No,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,29.30683339707888,840.0062460028432,No
110A-B,Male,0,No,No,58,Yes,No,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Mailed check,66.99372246606185,3889.577598059496,No
111A-B,Male,1,Yes,No,10,No,No phone service,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,58.70441974593962,591.5446456972782,Yes
112A-B,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),52.839132624598776,1316.583300025297,No
113A-B,Male,0,Yes,Yes,39,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),56.87838944919571,2232.543155715207,No
114A-B,Female,0,No,No,6,No,No,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),74.48171280598822,447.044181894969,Yes
115A-B,Male,1,No,No,4,No,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),85.88248364475592,346.3413813375106,No
116A-B,Female,0,No,No,8,No,Yes,No,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),84.3410330406613,698.6889409512963,No
117A-B,Female,1,Yes,No,29,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),62.38953996224488,1802.083890380228,No
118A-B,Female,0,Yes,Yes,13,No,Yes,DSL,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),22.85380241412815,313.7732150980321,No
119A-B,Male,1,No,Yes,51,No,No,No,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,35.66748233386183,1829.5988061709072,No
120A-B,Male,0,Yes,Yes,65,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),23.367424684687528,1513.590173361034,No
121A-B,Female,0,Yes,No,4,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,52.54694429367939,218.4676240731158,Yes
122A-B,Female,0,Yes,No,25,Yes,No,No,No internet service,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),42.20445171751261,1062.7870118746841,No
123A-B,Female,0,No,No,33,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),55.1297506055736,1814.9982256493472,No
124A-B,Male,1,No,Yes,23,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.27244575392584,1944.4288573243182,No
125A-B,Male,0,No,No,1,Yes,No,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),113.46563484045073,106.82839111295124,Yes
126A-B,Male,1,Yes,Yes,8,No,No phone service,No,No,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,71.48213335313055,571.707535418088,No
127A-B,Male,0,Yes,Yes,1,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.48710740022608,24.085499931090315,Yes
128A-B,Female,0,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),71.2442510150022,138.75985287961993,No
129A-B,Female,0,Yes,No,22,No,No phone service,No,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),46.40173909332316,1006.007466559393,No
130A-B,Male,0,No,No,38,No,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),37.913777728563915,1441.700077246861,No
131A-B,Female,1,No,No,64,No,Yes,No,Yes,Yes,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),55.824810770530796,3571.9620548035523,No
132A-B,Male,0,Yes,Yes,3,No,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),85.46157599618299,270.73677365411174,Yes
133A-B,Female,0,Yes,No,4,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,100.70552241767048,407.67178410500884,Yes
134A-B,Female,0,No,Yes,10,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),69.81820510101909,707.2893667129379,Yes
135A-B,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),27.532650687492858,110.89892257875154,No
136A-B,Female,0,Yes,No,63,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,Yes,Two year,No,Mailed check,49.429973306170396,3110.5177999220264,No
137A-B,Male,0,No,No,50,No,No,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,75.50890380832348,3781.136464686068,No
138A-B,Female,1,Yes,Yes,40,Yes,Yes,No,Yes,No internet service,No internet service,No,No,Yes,Two year,No,Mailed check,62.891020592895785,2518.4805609621885,No
139A-B,Male,0,No,No,55,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),99.27244354051655,5457.489571752777,No
140A-B,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,79.68760673603425,246.14420623922433,Yes
141A-B,Male,0,Yes,No,66,No,No,No,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,51.97017849451212,3419.056562168289,No
142A-B,Male,0,Yes,No,30,No,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,63.56801798974369,1910.2629995904174,No
143A-B,Male,1,Yes,No,7,No,No phone service,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,41.455133772418954,289.53799543932615,Yes
144A-B,Male,1,No,No,34,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),103.49964525443656,3517.169665655697,No
145A-B,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),61.17322606939217,350.39584698441337,Yes
146A-B,Male,0,Yes,No,11,Yes,No phone service,No,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),28.132878348265344,316.7128774842444,Yes
147A-B,Male,0,Yes,No,2,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),81.85703427044493,158.7248026029079,Yes
148A-B,Female,1,No,Yes,5,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.70750590443576,411.22370601834575,Yes
149A-B,Female,0,Yes,Yes,65,No,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),102.51701457134375,6668.184671879367,No
150A-B,Female,1,Yes,Yes,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),38.455394105653724,2531.9847027189326,No
151A-B,Male,0,Yes,Yes,39,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,No,Two year,No,Mailed check,106.74454323788746,4169.914135087905,No
152A-B,Female,0,No,No,58,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),67.87410392773036,3940.228950668938,No
153A-B,Male,0,No,No,10,No,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,23.95301767158513,217.9657743102275,Yes
154A-B,Female,0,No,Yes,43,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,83.0469897403402,3576.0630230595716,No
155A-B,Male,0,Yes,No,50,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,50.09035224849181,2505.3432645280573,No
156A-B,Female,0,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),118.18945231719158,586.0431057671391,Yes
157A-B,Male,0,No,Yes,10,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),18.2601893051028,175.01462849613495,Yes
158A-B,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.46063001690553,835.7151965352656,No
